module,3,499.7,36,6
hoping,39,4.3,35,6
metres,21,65.4,35,6
stones,13,174.7,35,6
begins,11,229.3,35,6
notice,45,28,34,6
longer,29,6.2,34,6
throat,18,90.4,34,6
exists,13,171.4,34,6
finger,27,8.2,33,6
brings,25,22.1,33,6
extend,14,134.7,33,6
stable,9,239,33,6
breach,7,304.3,33,6
points,5,361.4,33,6
defeat,4,400.3,33,6
ladies,42,28.3,32,6
shadow,11,183.1,32,6
driven,10,195.1,32,6
limits,10,192.3,32,6
fought,9,221.1,32,6
poetry,6,291.9,32,6
origin,5,340.7,32,6
phrase,23,24.6,31,6
jacket,23,23.5,31,6
thrown,22,33,31,6
except,21,38,31,6
slight,17,71.9,31,6
remote,9,208.3,31,6
device,8,236.5,31,6
escape,7,271.6,31,6
gentle,6,291.2,31,6
holder,5,331.3,31,6
bishop,5,323.3,31,6
tables,28,1.3,30,6
stands,21,30.9,30,6
leaves,18,50.6,30,6
broken,16,80.7,30,6
scored,16,78.6,30,6
column,12,140,30,6
boards,12,136.2,30,6
junior,11,151.7,30,6
visits,10,166.2,30,6
secure,8,225.8,30,6
guitar,5,302.7,30,6
sounds,78,509,29,6
eating,41,42.7,29,6
report,31,0.7,29,6
spoken,26,1.8,29,6
signal,13,113.1,29,6
string,13,102.1,29,6
tended,10,166.2,29,6
headed,8,195.1,29,6
causes,5,282.3,29,6
reveal,3,361.2,29,6
nights,29,0.5,28,6
tested,11,133.7,28,6
burden,10,137,28,6
writes,9,176.9,28,6
closer,9,154.2,28,6
tenant,7,223.3,28,6
sounds,7,219.5,28,6
stupid,83,640.5,27,6
camera,25,2.1,27,6
repeat,21,14.1,27,6
handle,19,27.9,27,6
relate,18,33.1,27,6
locked,15,56.7,27,6
retain,11,123.9,27,6
steady,11,111.3,27,6
listed,8,189.2,27,6
backed,8,179.2,27,6
deaths,7,206.6,27,6
judges,7,204.7,27,6
stream,6,230.2,27,6
native,2,384.6,27,6
softly,1,429.6,27,6
honest,61,300.6,26,6
square,27,1.2,26,6
purely,21,11.6,26,6
nurses,17,35.6,26,6
dreams,13,80.8,26,6
tongue,11,99.7,26,6
quoted,10,120.4,26,6
voices,8,176.5,26,6
medium,8,171.6,26,6
buried,7,171,26,6
argues,3,305.3,26,6
carbon,24,0.6,25,6
heaven,22,3,25,6
ignore,20,10.4,25,6
babies,19,14.9,25,6
define,16,39.1,25,6
jumped,15,50.1,25,6
regard,15,42.2,25,6
plates,13,70.2,25,6
hotels,8,164,25,6
awards,8,153,25,6
modest,7,176.9,25,6
mutual,5,238.8,25,6
ethnic,5,226.2,25,6
glance,4,271.5,25,6
barely,3,291.6,25,6
ruling,2,321.9,25,6
leaned,0,466.4,25,6
eleven,154,2566.5,24,6
inches,18,13.3,24,6
timber,14,42.5,24,6
stores,14,39.7,24,6
racing,13,61,24,6
waters,7,155.1,24,6
strain,7,148.1,24,6
liable,6,203.2,24,6
lawyer,6,196.2,24,6
honour,5,223.5,24,6
humour,5,207.3,24,6
nearby,3,282.9,24,6
finish,80,738.1,23,6
petrol,31,25,23,6
carpet,30,16.8,23,6
flying,16,23.6,23,6
flower,15,24.2,23,6
farmer,13,41.7,23,6
urgent,11,66.5,23,6
namely,8,136.5,23,6
fabric,8,133.4,23,6
refuse,8,127.5,23,6
secret,7,164.3,23,6
trends,7,148.5,23,6
demand,7,141.6,23,6
marked,6,172.6,23,6
priest,6,162.7,23,6
talent,5,211.6,23,6
titles,5,204.8,23,6
scenes,5,193,23,6
emerge,4,233.2,23,6
trials,3,273.5,23,6
viewed,2,340.2,23,6
sighed,0,434.9,23,6
agenda,40,117.3,22,6
favour,39,87.7,22,6
clever,36,69.1,22,6
record,32,35.7,22,6
drinks,15,24.9,22,6
routes,15,23.3,22,6
female,13,42.5,22,6
format,13,34.1,22,6
blocks,12,54.2,22,6
superb,11,71.2,22,6
prayer,10,80.4,22,6
defend,10,72.5,22,6
strict,10,70.9,22,6
closer,9,95.2,22,6
warmth,5,193.8,22,6
export,5,177.9,22,6
doubts,5,164.6,22,6
humans,3,252.2,22,6
marine,2,299.2,22,6
gender,2,279.2,22,6
learnt,28,21,21,6
ticket,28,19.4,21,6
advise,19,2,21,6
intend,18,5.6,21,6
belong,17,7.8,21,6
causes,11,48.9,21,6
chapel,10,68.3,21,6
weapon,9,84.6,21,6
rivers,7,127.3,21,6
resist,7,123.1,21,6
stolen,7,118.8,21,6
retail,7,116.7,21,6
